Agg_ASST,simp_ASS,LARC,AUTO,DATE,O3,PM25,PRCP,TMAX,UV,holi,fri,sat,sun,Chicago,NY,LA,Phil,Phoen,Atl,SanFran,Houston,Boston,Indianapolis?
6,32,75,23,2003-02-23,0.023,12.1,0,60,2.77,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,41,71,18,2003-02-24,,17.5,0.43,58,2.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,44,82,18,2003-02-25,0.029,7.7,0.02,59,1.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,33,86,26,2003-02-26,0.032,6,0.2,55,2.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,29,94,24,2003-02-27,0.028,5.6,0.01,59,2.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,30,83,29,2003-02-28,0.031,7.9,0,59,2.81,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,35,88,24,2003-03-01,0.03,,0,61,3.06,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,28,60,20,2003-03-02,0.034,,0,61,3.53,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,35,72,26,2003-03-03,0.031,,0,56,3.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,30,79,27,2003-03-04,0.027,,0,58,2.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,31,70,28,2003-03-05,0.028,6.2,0,62,3.79,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,35,67,26,2003-03-06,0.038,9.8,0,62,3.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,24,96,27,2003-03-07,0.039,,0,58,3.85,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,30,86,26,2003-03-08,0.029,6,0,60,3.98,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,25,71,27,2003-03-09,0.036,9,0,61,4.09,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,33,67,23,2003-03-10,0.026,8,0,65,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,33,80,23,2003-03-11,0.022,3.4,0,63,4.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,39,84,35,2003-03-12,0.018,,0,64,4.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,39,79,29,2003-03-13,0.028,2.7,0,63,4.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,28,86,28,2003-03-14,0.033,4.6,0.4,66,3.73,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,39,90,27,2003-03-15,0.042,6.3,0.35,61,2.95,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,29,76,33,2003-03-16,0.039,4.8,0.11,59,3.67,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11,25,70,24,2003-03-17,0.035,4.3,0,59,3.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,38,67,24,2003-03-18,0.031,6.1,0,61,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,31,64,19,2003-03-19,0.036,5.8,0.08,62,4.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,54,80,19,2003-03-20,0.036,5.9,0,60,3.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,31,82,34,2003-03-21,0.035,7.6,0,62,4.74,0,1,0,0,0,0,0,0,0,0,1,0,0,0
15,30,76,21,2003-03-22,0.037,2.3,0,61,4.82,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,20,80,28,2003-03-23,0.037,5.5,0.22,59,4.56,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,42,84,18,2003-03-24,0.029,7.1,0,60,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,25,91,27,2003-03-25,0.027,6.5,0,66,5.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,35,80,24,2003-03-26,0.033,3.2,0.01,61,5.86,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,35,78,25,2003-03-27,0.031,6.6,0,62,5.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,34,92,32,2003-03-28,0.033,5.2,0,71,5.96,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,35,97,27,2003-03-29,0.048,9.3,0,75,6.34,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,33,70,33,2003-03-30,0.046,8.4,0,75,6.51,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,28,65,22,2003-03-31,0.032,7.9,0,63,5.98,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,38,84,29,2003-04-01,0.042,,0,58,4.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,22,70,28,2003-04-02,0.043,,0.29,56,3.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,25,73,29,2003-04-03,0.045,3.6,0.08,57,4.43,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,29,84,27,2003-04-04,0.042,,0.45,56,4.45,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,26,93,36,2003-04-05,0.041,,0,57,4.78,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,30,82,23,2003-04-06,0.046,,0,59,5.05,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,20,69,25,2003-04-07,0.031,,0,64,5.37,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,29,79,32,2003-04-08,0.034,,0,69,5.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,28,82,33,2003-04-09,0.028,7.6,0,66,5.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,26,86,35,2003-04-10,0.041,,0,64,5.26,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,35,95,32,2003-04-11,0.039,,0,63,5.29,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,34,81,17,2003-04-12,0.051,,1.31,59,5.05,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,26,75,22,2003-04-13,0.049,,0.45,58,4.44,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,27,79,25,2003-04-14,0.043,,0.22,58,3.98,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,31,76,27,2003-04-15,0.045,3.2,0,59,4.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,20,72,28,2003-04-16,0.031,2,0.07,58,5.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,21,69,19,2003-04-17,0.042,,0,60,4.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,21,87,34,2003-04-18,0.043,,0,61,5.09,1,1,0,0,0,0,0,0,0,0,1,0,0,0
9,26,78,25,2003-04-19,0.04,,0,68,5.85,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,27,85,21,2003-04-20,0.045,,0,60,5.16,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,23,69,32,2003-04-21,0.046,3.9,0.1,56,4.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,26,91,24,2003-04-22,0.043,,0.11,59,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,33,80,24,2003-04-23,0.039,,0,61,5.63,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,25,63,25,2003-04-24,0.044,,0.3,58,5.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,20,97,30,2003-04-25,0.044,,0.38,58,5.81,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,31,93,25,2003-04-26,0.036,,0,61,6.26,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,21,68,24,2003-04-27,0.041,3.8,0.41,64,5.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,33,71,27,2003-04-28,0.041,,0.25,60,5.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0
